df1.region_name,df1.district_name
Điện Biên,Huyện Nậm Pồ
Hà Nội,Quận Đống Đa
Hồ Chí Minh,Huyện Củ Chi
Quảng Nam,Thị xã Điện Bàn
Nghệ An,Huyện Quỳnh Lưu
Cần Thơ,Quận Bình Thuỷ
An Giang,Huyện Thoại Sơn
Vĩnh Phúc,Thị xã Phúc Yên
Hải Dương,Huyện Kim Thành
Đắk Lắk,Thành phố Buôn Ma Thuột
Yên Bái,Thành phố Yên Bái
Bắc Giang,Huyện Yên Thế
Nam Định,Huyện Giao Thủy
Hải Phòng,Quận Đồ Sơn
Thái Nguyên,Thành phố Sông Công
Khánh Hòa,Thị xã Ninh Hòa
Hà Nội,Huyện Hoài Đức
Thái Nguyên,Huyện Định Hóa
Đắk Nông,Huyện Đắk R'Lấp
Thừa Thiên Huế,Huyện Phú Vang
Đồng Nai,Thị xã Long Khánh
Trà Vinh,Thị xã Duyên Hải
Đồng Nai,Huyện Trảng Bom
Bắc Ninh,Huyện Lương Tài
Hà Nam,Huyện Lý Nhân
Hà Nam,Thành phố Phủ Lý
An Giang,Thị xã Tân Châu
Bình Dương,Thị xã Dĩ An
Bắc Ninh,Huyện Quế Võ
Bình Định,Huyện Hoài Ân
Bình Dương,Thị xã Tân Uyên
Kiên Giang,Huyện Tân Hiệp
Nam Định,Huyện Nghĩa Hưng
Long An,Huyện Đức Huệ
Lâm Đồng,Huyện Bảo Lâm
Điện Biên,Huyện Mường Chà
An Giang,Huyện Châu Phú
Kiên Giang,Huyện Gò Quao
Long An,Huyện Đức Hòa
Phú Yên,Huyện Đồng Xuân
Hậu Giang,Huyện Phụng Hiệp
Bình Định,Huyện Vân Canh
Tiền Giang,Thị xã Gò Công
Hải Phòng,Quận Dương Kinh
Hà Nội,Huyện Chương Mỹ
Lâm Đồng,Huyện Đam Rông
Thái Bình,Thành phố Thái Bình
Quảng Nam,Thành phố Tam Kỳ
Bến Tre,Huyện Mỏ Cày Nam
Quảng Ngãi,Huyện Tư Nghĩa
Vĩnh Long,Thành phố Vĩnh Long
Hải Dương,Huyện Kinh Môn
Ninh Bình,Huyện Kim Sơn
Thanh Hóa,Huyện Hoằng Hóa
Sơn La,Huyện Bắc Yên
Sơn La,Huyện Mai Sơn
Bình Định,Huyện Phù Mỹ
Vĩnh Long,Huyện Vũng Liêm
Đắk Nông,Huyện Cư Jút
Bình Thuận,Huyện Hàm Thuận Bắc
Kon Tum,Huyện Kon Rẫy
Thanh Hóa,Huyện Hậu Lộc
Bắc Kạn,Huyện Na Rì
Lạng Sơn,Huyện Lộc Bình
Cà Mau,Huyện Thới Bình
Quảng Ninh,Huyện Hoành Bồ
Sóc Trăng,Huyện Kế Sách
Thanh Hóa,Thị xã Sầm Sơn
Quảng Nam,Huyện Đại Lộc
Quảng Nam,Huyện Duy Xuyên
Bà Rịa - Vũng Tàu,Huyện Long Điền
Hà Tĩnh,Huyện Cẩm Xuyên
Đắk Nông,Huyện Đắk Mil
Trà Vinh,Huyện Cầu Kè
Đắk Nông,Huyện Krông Nô
Hà Tĩnh,Huyện Hương Khê
Vĩnh Phúc,Huyện Tam Đảo
Ninh Bình,Huyện Yên Mô
Bắc Kạn,Huyện Chợ Mới
Đồng Tháp,Huyện Châu Thành
Nghệ An,Huyện Tân Kỳ
Cao Bằng,Huyện Hoà An
Phú Thọ,Huyện Thanh Thuỷ
Quảng Nam,Huyện Bắc Trà My
Cao Bằng,Huyện Bảo Lạc
Cao Bằng,Huyện Thông Nông
Gia Lai,Huyện KBang
Sơn La,Huyện Sốp Cộp
Quảng Bình,Huyện Quảng Trạch
Gia Lai,Huyện Mang Yang
Phú Thọ,Huyện Hạ Hoà
Hoà Bình,Huyện Tân Lạc
Tiền Giang,Huyện Gò Công Đông
Nam Định,Huyện Mỹ Lộc
Phú Yên,Huyện Sông Hinh
Nghệ An,Huyện Quỳ Châu
Hoà Bình,Huyện Lương Sơn
Kon Tum,Huyện Ngọc Hồi
Tuyên Quang,Huyện Lâm Bình
Yên Bái,Huyện Mù Căng Chải
Quảng Ninh,Huyện Ba Chẽ
Cao Bằng,Huyện Trà Lĩnh
Khánh Hòa,Huyện Trường Sa
Hà Tĩnh,Huyện Vũ Quang
Cao Bằng,Huyện Phục Hoà
Nghệ An,Thị Xã Hoàng Mai
Quảng Ninh,Thành phố Hạ Long
Hồ Chí Minh,Quận Tân Bình
Hồ Chí Minh,Quận Gò Vấp
Hồ Chí Minh,Quận 10
An Giang,Thành phố Long Xuyên
Hồ Chí Minh,Quận 8
Hồ Chí Minh,Quận 9
Hà Nội,Quận Hà Đông
Hồ Chí Minh,Quận 12
Sóc Trăng,Thành phố Sóc Trăng
Tiền Giang,Huyện Châu Thành
Cà Mau,Huyện Đầm Dơi
Bắc Giang,Huyện Hiệp Hòa
Lâm Đồng,Thành phố Đà Lạt
Quảng Ngãi,Huyện Đức Phổ
Bình Định,Thành phố Qui Nhơn
Hồ Chí Minh,Huyện Bình Chánh
Thái Bình,Huyện Quỳnh Phụ
Hồ Chí Minh,Quận Phú Nhuận
Hồ Chí Minh,Quận 11
Nghệ An,Huyện Yên Thành
Quảng Bình,Huyện Tuyên Hóa
Bình Phước,Thị xã Bình Long
Bình Thuận,Thành phố Phan Thiết
Đồng Nai,Huyện Thống Nhất
Sơn La,Huyện Mộc Châu
Hà Nội,Huyện Phúc Thọ
Đồng Nai,Huyện Nhơn Trạch
Khánh Hòa,Huyện Cam Lâm
Bình Dương,Thị xã Bến Cát
Hà Nội,Huyện Đan Phượng
Tây Ninh,Huyện Tân Châu
Quảng Ngãi,Huyện Sơn Tịnh
An Giang,Huyện Tịnh Biên
Ninh Thuận,Thành phố Phan Rang-Tháp Chàm
Hà Nội,Huyện Thạch Thất
Hải Dương,Huyện Ninh Giang
Hà Tĩnh,Huyện Thạch Hà
Bình Phước,Thị xã Đồng Xoài
Bà Rịa - Vũng Tàu,Huyện Tân Thành
Đồng Tháp,Thành phố Cao Lãnh
Hà Giang,Huyện Vị Xuyên
Đồng Tháp,Huyện Cao Lãnh
Quảng Nam,Thành phố Hội An
Hải Phòng,Huyện Tiên Lãng
Thái Bình,Huyện Vũ Thư
Hà Nội,Huyện Quốc Oai
Cần Thơ,Quận Cái Răng
Quảng Nam,Huyện Quế Sơn
Bà Rịa - Vũng Tàu,Huyện Đất Đỏ
Tây Ninh,Thành phố Tây Ninh
Thừa Thiên Huế,Thị xã Hương Thủy
Quảng Ngãi,Huyện Nghĩa Hành
Quảng Ninh,Thành phố Cẩm Phả
Cần Thơ,Quận Ô Môn
Khánh Hòa,Huyện Vạn Ninh
Tiền Giang,Thị xã Cai Lậy
Hưng Yên,Huyện Khoái Châu
Quảng Trị,Huyện Cam Lộ
Long An,Huyện Châu Thành
Bình Dương,Huyện Bàu Bàng
Đồng Tháp,Thị xã Hồng Ngự
Hải Dương,Huyện Thanh Miện
Bạc Liêu,Huyện Vĩnh Lợi
Gia Lai,Huyện Krông Pa
Bạc Liêu,Huyện Hoà Bình
Hưng Yên,Huyện Mỹ Hào
Kiên Giang,Huyện Châu Thành
Bến Tre,Thành phố Bến Tre
Thái Nguyên,Huyện Đại Từ
Ninh Bình,Thành phố Tam Điệp
Đồng Nai,Huyện Xuân Lộc
Bạc Liêu,Huyện Hồng Dân
Bình Thuận,Huyện Đức Linh
Tiền Giang,Huyện Cái Bè
Hải Dương,Thị xã Chí Linh
An Giang,Huyện Chợ Mới
Bến Tre,Huyện Mỏ Cày Bắc
Nam Định,Huyện Vụ Bản
Trà Vinh,Thành phố Trà Vinh
Bình Định,Huyện Tây Sơn
Gia Lai,Huyện Ia Pa
Đắk Lắk,Huyện Buôn Đôn
Nghệ An,Huyện Thanh Chương
Quảng Trị,Huyện Vĩnh Linh
Long An,Huyện Cần Giuộc
Cao Bằng,Huyện Trùng Khánh
Sóc Trăng,Huyện Mỹ Tú
Kiên Giang,Huyện Hòn Đất
Nghệ An,Huyện Đô Lương
Lai Châu,Huyện Mường Tè
Bắc Kạn,Huyện Chợ Đồn
Hoà Bình,Huyện Lạc Thủy
Nghệ An,Huyện Anh Sơn
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa
Tây Ninh,Huyện Trảng Bàng
Nam Định,Huyện Trực Ninh
Thừa Thiên Huế,Huyện Phú Lộc
Quảng Ninh,Huyện Bình Liêu
An Giang,Huyện Phú Tân
Hà Tĩnh,Huyện Kỳ Anh
Bắc Giang,Huyện Tân Yên
Thanh Hóa,Huyện Nông Cống
Sơn La,Huyện Phù Yên
Bến Tre,Huyện Thạnh Phú
Thanh Hóa,Huyện Lang Chánh
Trà Vinh,Huyện Cầu Ngang
Yên Bái,Huyện Văn Chấn
Thanh Hóa,Huyện Đông Sơn
Tuyên Quang,Huyện Nà Hang
Gia Lai,Huyện Đức Cơ
Quảng Trị,Huyện Gio Linh
Tây Ninh,Huyện Bến Cầu
Cần Thơ,Huyện Thới Lai
Sơn La,Huyện Mường La
Điện Biên,Huyện Mường Ảng
Long An,Huyện Vĩnh Hưng
Phú Yên,Huyện Tây Hoà
Hà Tĩnh,Huyện Hương Sơn
Lâm Đồng,Huyện Lạc Dương
Hà Giang,Huyện Mèo Vạc
Bình Thuận,Huyện Phú Quí
Quảng Ngãi,Huyện Minh Long
Quảng Bình,Huyện Minh Hóa
Hà Tĩnh,Thị xã Hồng Lĩnh
Bắc Kạn,Huyện Ba Bể
Thanh Hóa,Huyện Như Xuân
Bắc Kạn,Huyện Bạch Thông
Hà Giang,Huyện Yên Minh
Sơn La,Huyện Quỳnh Nhai
Cao Bằng,Huyện Bảo Lâm
Bắc Kạn,Huyện Ngân Sơn
Điện Biên,Huyện Tuần Giáo
Kon Tum,Huyện Tu Mơ Rông
Bà Rịa - Vũng Tàu,UNKNOWN
Hồ Chí Minh,Quận 4
Hải Phòng,Quận Lê Chân
Hồ Chí Minh,Quận 3
Nghệ An,Thành phố Vinh
Hà Nội,Quận Bắc Từ Liêm
Bình Dương,Thành phố Thủ Dầu Một
Hồ Chí Minh,Huyện Nhà Bè
Hà Nội,Quận Cầu Giấy
Bình Thuận,Huyện Tuy Phong
Hà Tĩnh,Thành phố Hà Tĩnh
Bắc Ninh,Thị xã Từ Sơn
Bình Dương,Huyện Dầu Tiếng
Thái Nguyên,Thành phố Thái Nguyên
Nam Định,Thành phố Nam Định
Hồ Chí Minh,Quận 5
Thái Bình,Huyện Hưng Hà
Long An,Thành phố Tân An
Bắc Giang,Thành phố Bắc Giang
Tây Ninh,Huyện Hòa Thành
Lâm Đồng,Huyện Lâm Hà
Hải Phòng,Huyện An Lão
Trà Vinh,Huyện Trà Cú
Lâm Đồng,Thành phố Bảo Lộc
Ninh Bình,Thành phố Ninh Bình
Long An,Huyện Thạnh Hóa
Ninh Bình,Huyện Gia Viễn
Kiên Giang,Huyện Kiên Lương
Lào Cai,Thành phố Lào Cai
Đắk Lắk,Huyện Cư Kuin
Tây Ninh,Huyện Tân Biên
Tiền Giang,Huyện Cai Lậy
Đồng Nai,Huyện Cẩm Mỹ
Hà Nội,Huyện Sóc Sơn
Vĩnh Long,Huyện Long Hồ
Cần Thơ,Huyện Vĩnh Thạnh
Vĩnh Phúc,Huyện Yên Lạc
Hà Nội,Huyện Mê Linh
Khánh Hòa,Huyện Diên Khánh
Hà Nội,Huyện Thanh Oai
An Giang,Huyện Châu Thành
An Giang,Huyện Tri Tôn
Tây Ninh,Huyện Gò Dầu
Hải Dương,Huyện Cẩm Giàng
Hưng Yên,Huyện Văn Giang
Bình Thuận,Huyện Bắc Bình
Đắk Nông,Huyện Tuy Đức
Đồng Tháp,Huyện Tháp Mười
Bình Phước,Thị xã Phước Long
Bắc Ninh,Huyện Thuận Thành
Bắc Ninh,Huyện Tiên Du
Hưng Yên,Thành phố Hưng Yên
Nam Định,Huyện Ý Yên
Bình Phước,Huyện Bù Đăng
Ninh Thuận,Huyện Bác Ái
Bình Phước,Huyện Đồng Phú
Nam Định,Huyện Nam Trực
Thanh Hóa,Huyện Như Thanh
Hậu Giang,Huyện Châu Thành
Bình Thuận,Thị xã La Gi
Bình Định,Huyện Vĩnh Thạnh
Bắc Kạn,Thành Phố Bắc Kạn
Thanh Hóa,Huyện Vĩnh Lộc
Vĩnh Phúc,Huyện Tam Dương
Lạng Sơn,Huyện Tràng Định
Khánh Hòa,Huyện Khánh Vĩnh
Đắk Lắk,Huyện Ea H'leo
Quảng Bình,Huyện Bố Trạch
Điện Biên,Huyện Mường Nhé
Đồng Tháp,Huyện Hồng Ngự
Vĩnh Phúc,Huyện Bình Xuyên
Đắk Lắk,Huyện Krông Năng
Quảng Trị,Thị xã Quảng Trị
Kiên Giang,Thị xã Hà Tiên
Thanh Hóa,Huyện Tĩnh Gia
Long An,Huyện Tân Hưng
Phú Thọ,Thị xã Phú Thọ
Long An,Huyện Tân Thạnh
Quảng Ninh,Huyện Hải Hà
Thanh Hóa,Huyện Yên Định
Đắk Lắk,Huyện M'Đrắk
Gia Lai,Huyện Ia Grai
Thanh Hóa,Huyện Thiệu Hóa
Phú Thọ,Huyện Tân Sơn
Yên Bái,Huyện Yên Bình
Gia Lai,Huyện Chư Sê
Kon Tum,Huyện Đắk Hà
Nghệ An,Huyện Con Cuông
Vĩnh Long,Huyện Mang Thít
Lào Cai,Huyện Sa Pa
Đắk Lắk,Huyện Krông Búk
Ninh Bình,Huyện Hoa Lư
Sơn La,Huyện Thuận Châu
Điện Biên,Thị Xã Mường Lay
Phú Yên,Huyện Tuy An
Cà Mau,Huyện Phú Tân
Quảng Nam,Huyện Tây Giang
Long An,Huyện Thủ Thừa
Sơn La,Huyện Yên Châu
Thanh Hóa,Huyện Quan Sơn
Quảng Nam,Huyện Nam Trà My
Lào Cai,Huyện Mường Khương
Yên Bái,Huyện Trạm Tấu
Hải Phòng,Huyện Bạch Long Vĩ
Đà Nẵng,Huyện Hoàng Sa
Đắk Lắk,UNKNOWN
Hà Nội,Quận Hai Bà Trưng
Thái Bình,Huyện Kiến Xương
Hà Nội,Quận Nam Từ Liêm
Hồ Chí Minh,Huyện Hóc Môn
Hồ Chí Minh,Quận 6
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu
Đồng Nai,Thành phố Biên Hòa
Bến Tre,Huyện Bình Đại
Phú Yên,Thị xã Sông Cầu
Long An,Huyện Bến Lức
Thanh Hóa,Thành phố Thanh Hóa
Quảng Trị,Thành phố Đông Hà
Lâm Đồng,Huyện Đạ Huoai
Hà Nội,Quận Thanh Xuân
Bình Dương,Thị xã Thuận An
Hồ Chí Minh,Quận 2
Thanh Hóa,Huyện Quảng Xương
Nghệ An,Thị xã Thái Hoà
Hải Phòng,Quận Hồng Bàng
Bạc Liêu,Thị xã Giá Rai
Bắc Ninh,Thành phố Bắc Ninh
An Giang,Huyện An Phú
Hải Phòng,Quận Hải An
Gia Lai,Thành phố Pleiku
Gia Lai,Thị xã An Khê
Kiên Giang,Huyện Phú Quốc
Hoà Bình,Thành phố Hòa Bình
Bắc Ninh,Huyện Gia Bình
Thái Nguyên,Thị xã Phổ Yên
Khánh Hòa,Thành phố Cam Ranh
Sóc Trăng,Thị xã Ngã Năm
Hậu Giang,Thị xã Long Mỹ
Hà Giang,Thành phố Hà Giang
Bạc Liêu,Huyện Đông Hải
Thái Bình,Huyện Thái Thụy
Bắc Giang,Huyện Sơn Động
Bắc Ninh,Huyện Yên Phong
Sóc Trăng,Huyện Châu Thành
Cà Mau,Thành phố Cà Mau
Bà Rịa - Vũng Tàu,Huyện Châu Đức
Quảng Nam,Huyện Thăng Bình
Hải Phòng,Huyện Cát Hải
Hà Tĩnh,Huyện Nghi Xuân
An Giang,Thành phố Châu Đốc
Thái Nguyên,Huyện Đồng Hỷ
Hà Nam,Huyện Thanh Liêm
Sóc Trăng,Huyện Mỹ Xuyên
Bến Tre,Huyện Giồng Trôm
Vĩnh Long,Huyện Tam Bình
Thanh Hóa,Huyện Cẩm Thủy
Hậu Giang,Huyện Vị Thuỷ
Lai Châu,Huyện Phong Thổ
Quảng Ninh,Thành phố Uông Bí
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc
Bắc Giang,Huyện Lục Ngạn
Quảng Bình,Thị xã Ba Đồn
Hà Tĩnh,Huyện Đức Thọ
Bình Phước,Huyện Lộc Ninh
Quảng Ninh,Thị xã Quảng Yên
Quảng Bình,Thành Phố Đồng Hới
Đồng Tháp,Huyện Thanh Bình
Quảng Ninh,Thị xã Đông Triều
Bình Dương,Huyện Phú Giáo
Bình Phước,Huyện Hớn Quản
Bến Tre,Huyện Ba Tri
Kiên Giang,Huyện Giồng Riềng
Đồng Tháp,Thành phố Sa Đéc
Đắk Lắk,Thị Xã Buôn Hồ
Lạng Sơn,Huyện Hữu Lũng
Bến Tre,Huyện Chợ Lách
Cần Thơ,Quận Thốt Nốt
Quảng Ngãi,Huyện Trà Bồng
Đắk Lắk,Huyện Ea Súp
Vĩnh Long,Huyện Trà Ôn
Hưng Yên,Huyện Kim Động
Lào Cai,Huyện Bảo Thắng
Tiền Giang,Huyện Tân Phước
Hải Dương,Huyện Tứ Kỳ
Cao Bằng,Huyện Nguyên Bình
Hà Tĩnh,Huyện Can Lộc
Nghệ An,Huyện Quỳ Hợp
Hà Tĩnh,Huyện Lộc Hà
Hà Nam,Huyện Bình Lục
Cao Bằng,Huyện Hạ Lang
Thừa Thiên Huế,Thị xã Hương Trà
Sóc Trăng,Thị xã Vĩnh Châu
Quảng Ninh,Thành phố Móng Cái
Quảng Nam,Huyện Núi Thành
Yên Bái,Huyện Trấn Yên
Sơn La,Huyện Vân Hồ
Hưng Yên,Huyện Phù Cừ
Bình Thuận,Huyện Tánh Linh
Ninh Bình,Huyện Nho Quan
Quảng Trị,Huyện Triệu Phong
Phú Thọ,Huyện Yên Lập
Hà Giang,Huyện Bắc Quang
Quảng Ninh,Huyện Vân Đồn
Hoà Bình,Huyện Lạc Sơn
Bình Phước,Huyện Bù Gia Mập
Cần Thơ,Huyện Phong Điền
Tuyên Quang,Huyện Chiêm Hóa
Nghệ An,Huyện Hưng Nguyên
Ninh Thuận,Huyện Ninh Sơn
Yên Bái,Huyện Lục Yên
Bắc Giang,Huyện Yên Dũng
Trà Vinh,Huyện Tiểu Cần
Cà Mau,Huyện Năm Căn
Lai Châu,Huyện Tam Đường
Quảng Nam,Huyện Hiệp Đức
Tây Ninh,Huyện Châu Thành
Hoà Bình,Huyện Mai Châu
Lào Cai,Huyện Bắc Hà
Hải Dương,Huyện Bình Giang
Cà Mau,Huyện Ngọc Hiển
Kiên Giang,Huyện An Biên
Yên Bái,Thị xã Nghĩa Lộ
Sóc Trăng,Huyện Thạnh Trị
Ninh Thuận,Huyện Thuận Nam
Tuyên Quang,Huyện Hàm Yên
Phú Thọ,Huyện Thanh Ba
Kiên Giang,Huyện An Minh
Sơn La,Huyện Sông Mã
Gia Lai,Huyện Đăk Pơ
Bà Rịa - Vũng Tàu,Huyện Côn Đảo
Quảng Ngãi,Huyện Sơn Hà
Thanh Hóa,Huyện Thạch Thành
Kon Tum,Huyện Đắk Glei
Thanh Hóa,Huyện Quan Hóa
Gia Lai,Huyện Phú Thiện
Hoà Bình,Huyện Cao Phong
Thái Nguyên,Huyện Phú Bình
Gia Lai,Huyện Kông Chro
Thừa Thiên Huế,Huyện Quảng Điền
Điện Biên,Huyện Điện Biên Đông
Phú Thọ,Huyện Cẩm Khê
Quảng Nam,Huyện Phước Sơn
Lâm Đồng,Huyện Cát Tiên
Quảng Nam,Huyện Nông Sơn
Hà Giang,Huyện Quản Bạ
NA,NA
Quảng Trị,Huyện Cồn Cỏ
Đà Nẵng,Quận Cẩm Lệ
Quảng Ngãi,Thành phố Quảng Ngãi
Lạng Sơn,Thành phố Lạng Sơn
Hà Nội,Quận Ba Đình
Hồ Chí Minh,Quận Bình Thạnh
Hồ Chí Minh,Quận 1
Hà Nội,Quận Tây Hồ
Hà Nội,Huyện Gia Lâm
Đà Nẵng,Quận Hải Châu
Cần Thơ,Quận Ninh Kiều
Đà Nẵng,Quận Thanh Khê
Hải Dương,Thành phố Hải Dương
Đắk Nông,Thị xã Gia Nghĩa
Kiên Giang,Huyện Vĩnh Thuận
Bình Phước,Huyện Phú Riềng
Hà Nội,Quận Long Biên
Thừa Thiên Huế,Thành phố Huế
Thanh Hóa,Huyện Triệu Sơn
Đồng Nai,Huyện Định Quán
Quảng Ngãi,Huyện Bình Sơn
Tiền Giang,Huyện Gò Công Tây
Hưng Yên,Huyện Văn Lâm
Hải Dương,Huyện Gia Lộc
Yên Bái,Huyện Văn Yên
Kon Tum,Thành phố Kon Tum
Nghệ An,Huyện Nam Đàn
Lâm Đồng,Huyện Đạ Tẻh
Hưng Yên,Huyện Yên Mỹ
Đồng Nai,Huyện Vĩnh Cửu
Vĩnh Long,Huyện Bình Tân
Nghệ An,Thị xã Hoàng Mai
Bình Định,Huyện Tuy Phước
Tiền Giang,Huyện Chợ Gạo
Hải Phòng,Huyện Vĩnh Bảo
Đắk Lắk,Huyện Krông Pắc
Hà Nội,Quận Hoàn Kiếm
Phú Yên,Thành phố Tuy Hoà
Phú Thọ,Huyện Thanh Sơn
Hà Nam,Huyện Duy Tiên
Nam Định,Huyện Hải Hậu
Hải Phòng,Quận Ngô Quyền
Nghệ An,Huyện Quế Phong
Hoà Bình,Huyện Đà Bắc
Đồng Nai,Huyện Long Thành
Tây Ninh,Huyện Dương Minh Châu
Lào Cai,Huyện Bảo Yên
Tuyên Quang,Thành phố Tuyên Quang
Quảng Ninh,Huyện Đầm Hà
Quảng Bình,Huyện Lệ Thủy
Hà Nội,Huyện Mỹ Đức
Đồng Nai,Huyện Tân Phú
Sóc Trăng,Huyện Long Phú
Bắc Giang,Huyện Lục Nam
Hậu Giang,Huyện Châu Thành A
Hà Nội,Huyện Ứng Hòa
Hồ Chí Minh,Huyện Cần Giờ
Phú Yên,Huyện Đông Hòa
Điện Biên,Thành phố Điện Biên Phủ
Đắk Lắk,Huyện Lắk
Hưng Yên,Huyện Ân Thi
Trà Vinh,Huyện Duyên Hải
Đồng Tháp,Huyện Lai Vung
Vĩnh Phúc,Huyện Lập Thạch
Bình Thuận,Huyện Hàm Thuận Nam
Quảng Ngãi,Huyện Mộ Đức
Ninh Thuận,Huyện Ninh Hải
Đắk Nông,Huyện Đăk Glong
Vĩnh Phúc,Huyện Sông Lô
Kon Tum,Huyện Đắk Tô
Phú Yên,Huyện Sơn Hòa
Đồng Tháp,Huyện Tân Hồng
Thanh Hóa,Huyện Nga Sơn
Thanh Hóa,Huyện Ngọc Lặc
Phú Thọ,Huyện Đoan Hùng
Đắk Lắk,Huyện Krông Bông
Lạng Sơn,Huyện Cao Lộc
Long An,Huyện Cần Đước
Cần Thơ,Huyện Cờ Đỏ
Tuyên Quang,Huyện Sơn Dương
Quảng Ninh,Huyện Cô Tô
Thừa Thiên Huế,Huyện Nam Đông
Đắk Lắk,Huyện Ea Kar
Sóc Trăng,Huyện Trần Đề
Thanh Hóa,Huyện Thường Xuân
